date,O3,NO,NO2,NOx,CO,PM10,station,day_of_week,quarter_num,year
2024-01-06,29.336789999999997,8.689523333333334,21.8503125,35.15015625,0.2595195833333333,10.2,London Marylebone Road,5,1,2024
2024-01-07,53.983685,4.401929583333334,15.19640625,21.9459375,0.2134366666666667,12.7,London Marylebone Road,6,1,2024
2024-01-08,51.40590583333333,4.734542916666666,17.6428125,24.90234375,0.20179466666666668,24.0,London Marylebone Road,0,1,2024
2024-01-09,48.47056375,5.914280833333334,21.1171875,30.17765625,0.22895933333333332,27.8,London Marylebone Road,1,1,2024
2024-01-10,47.14009708333333,4.921637916666667,24.64734375,32.2096875,0.22604883333333334,9.5,London Marylebone Road,2,1,2024
2024-01-11,33.943530833333334,7.166777916666667,27.7471875,38.76,0.2653405833333333,25.9,London Marylebone Road,3,1,2024
2024-01-12,45.14439708333333,8.87142125,24.352500000000003,37.963125,0.23526541666666667,15.5,London Marylebone Road,4,1,2024
2024-01-13,21.81133791666667,33.96293958333333,46.88015625,98.99578125,0.3963130833333333,27.3,London Marylebone Road,5,1,2024
2024-01-14,27.864961249999997,16.313644583333332,34.4409375,59.470781249999995,0.32840141666666667,19.2,London Marylebone Road,6,1,2024
2024-01-15,26.409763333333334,23.677911666666663,49.73296875,86.0625,0.40455949999999996,32.2,London Marylebone Road,0,1,2024
2024-01-16,8.922442083333333,69.27192375,80.7075,186.8990625,0.5442635,55.4,London Marylebone Road,1,1,2024
2024-01-17,18.293916666666664,32.706375217391304,54.72244565217392,104.85489130434782,0.44821700000000003,28.4,London Marylebone Road,2,1,2024
2024-01-18,15.973915416666665,56.066135,65.57484375,151.52578125,0.5185540833333333,42.6,London Marylebone Road,3,1,2024
2024-01-19,5.995415416666667,80.27934625,80.68359375,203.76093749999998,0.6015033333333334,39.7,London Marylebone Road,4,1,2024
2024-01-20,32.54654083333333,27.357446666666664,46.00359375,87.94312500000001,0.41183575,27.7,London Marylebone Road,5,1,2024
2024-01-21,50.39974041666667,12.30149625,21.595312500000002,40.40953125,0.29590083333333334,21.0,London Marylebone Road,6,1,2024
2024-01-22,39.21075333333334,28.85231681818182,44.62210227272727,88.86170454545454,0.22729619047619048,26.8,London Marylebone Road,0,1,2024
2024-01-23,30.6838875,30.392543333333332,43.03921875,89.664375,0.19742891666666665,16.5,London Marylebone Road,1,1,2024
2024-01-24,33.02051958333333,39.95517666666667,55.741406250000004,117.00515625000001,0.29735608333333335,42.4,London Marylebone Road,2,1,2024
2024-01-25,19.23355875,43.12020041666667,52.6734375,118.76625,0.24787758333333332,22.5,London Marylebone Road,3,1,2024
