Hourly measurement data supplied by UK-air on 13/07/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"London Marylebone Road",
Latitude,,51.522530,,
Longitude,,-0.154611,,
Site Type,,Urban Traffic,,
Zone,,Greater London,,
Agglomeration,,Greater London Urban Area,,
Local Authority,,"Westminster",,
Date,Time,"Carbon monoxide",Status
2021-01-19,11:00:00,0.217271,V mgm-3
2021-01-19,12:00:00,0.257053,V mgm-3
2021-01-19,13:00:00,0.253994,V mgm-3
2021-01-19,14:00:00,0.269293,V mgm-3
2021-01-19,15:00:00,0.315197,V mgm-3
2021-01-19,16:00:00,0.379459,V mgm-3
2021-01-19,17:00:00,0.342737,V mgm-3
2021-01-19,18:00:00,0.440663,V mgm-3
2021-01-19,19:00:00,0.281535,V mgm-3
2021-01-19,20:00:00,0.290715,V mgm-3
2021-01-19,21:00:00,0.238692,V mgm-3
2021-01-19,22:00:00,0.211151,V mgm-3
2021-01-19,23:00:00,0.217271,V mgm-3
2021-01-19,24:00:00,0.205031,V mgm-3
2021-01-20,01:00:00,0.138128,V mgm-3
2021-01-20,02:00:00,0.117815,V mgm-3
2021-01-20,03:00:00,0.08836,V mgm-3
2021-01-20,04:00:00,0.070079,V mgm-3
2021-01-20,05:00:00,0.067032,V mgm-3
2021-01-20,06:00:00,0.146253,V mgm-3
2021-01-20,07:00:00,0.164534,V mgm-3
2021-01-20,08:00:00,0.262036,V mgm-3
2021-01-20,09:00:00,0.240708,V mgm-3
2021-01-20,10:00:00,0.255942,V mgm-3
2021-01-20,11:00:00,0.222426,V mgm-3
2021-01-20,12:00:00,No data,V mgm-3
2021-01-20,13:00:00,0.344303,V mgm-3
2021-01-20,14:00:00,0.265083,V mgm-3
2021-01-20,15:00:00,0.304693,V mgm-3
2021-01-20,16:00:00,0.316881,V mgm-3
2021-01-20,17:00:00,0.30774,V mgm-3
2021-01-20,18:00:00,0.429617,V mgm-3
2021-01-20,19:00:00,0.277271,V mgm-3
2021-01-20,20:00:00,0.252896,V mgm-3
2021-01-20,21:00:00,0.204145,V mgm-3
2021-01-20,22:00:00,0.185862,V mgm-3
2021-01-20,23:00:00,0.158441,V mgm-3
2021-01-20,24:00:00,0.131018,V mgm-3
2021-01-21,01:00:00,0.076863,V mgm-3
2021-01-21,02:00:00,0.084953,V mgm-3
2021-01-21,03:00:00,0.175975,V mgm-3
2021-01-21,04:00:00,0.215417,V mgm-3
2021-01-21,05:00:00,0.21845,V mgm-3
2021-01-21,06:00:00,0.257894,V mgm-3
2021-01-21,07:00:00,0.354983,V mgm-3
2021-01-21,08:00:00,0.427799,V mgm-3
2021-01-21,09:00:00,0.464208,V mgm-3
2021-01-21,10:00:00,0.336779,V mgm-3
2021-01-21,11:00:00,0.388357,V mgm-3
2021-01-21,12:00:00,0.406562,V mgm-3
2021-01-21,13:00:00,0.379256,V mgm-3
2021-01-21,14:00:00,0.452072,V mgm-3
2021-01-21,15:00:00,0.50365,V mgm-3
2021-01-21,16:00:00,0.573434,V mgm-3
2021-01-21,17:00:00,0.691762,V mgm-3
2021-01-21,18:00:00,0.846498,V mgm-3
2021-01-21,19:00:00,0.782782,V mgm-3
2021-01-21,20:00:00,0.664456,V mgm-3
2021-01-21,21:00:00,0.491515,V mgm-3
2021-01-21,22:00:00,0.361051,V mgm-3
2021-01-21,23:00:00,0.364085,V mgm-3
2021-01-21,24:00:00,0.385323,V mgm-3
2021-01-22,01:00:00,0.092648,V mgm-3
2021-01-22,02:00:00,0.104734,V mgm-3
2021-01-22,03:00:00,0.099699,V mgm-3
2021-01-22,04:00:00,0.087613,V mgm-3
2021-01-22,05:00:00,0.126888,V mgm-3
2021-01-22,06:00:00,0.178248,V mgm-3
2021-01-22,07:00:00,0.332327,V mgm-3
2021-01-22,08:00:00,0.537765,V mgm-3
2021-01-22,09:00:00,0.610272,V mgm-3
